"Place","Region","Confirmed","Deaths","Recovered","Last Update"
"Mainland China","Mainland China","80,695","3,097","56,940","2020-03-08 02:00:00"
"Hubei","Mainland China","67,707","2,986","45,011","2020-03-08 02:00:00"
"South Korea","South Korea","7,134","48","135","2020-03-08 02:00:00"
"Italy","Italy","5,883","233","589","2020-03-07 18:30:00"
"Iran","Iran","5,823","145","1,669","2020-03-07 18:30:00"
"Guangdong","Mainland China","1,352","7","1,233","2020-03-07 01:00:00"
"Henan","Mainland China","1,272","22","1,243","2020-03-07 01:00:00"
"Zhejiang","Mainland China","1,215","1","1,149","2020-03-07 01:00:00"
"Hunan","Mainland China","1,018","4","959","2020-03-07 01:00:00"
"Anhui","Mainland China","990","6","979","2020-03-07 01:00:00"
"France","France","949","16","12","2020-03-07 20:00:00"
"Jiangxi","Mainland China","935","1","916","2020-03-07 01:00:00"
"Germany","Germany","836","0","16","2020-03-07 21:00:00 * Source: github.com/iceweasel1/COVID-19-Germany"
"Shandong","Mainland China","758","6","625","2020-03-07 01:00:00"
"Others","Japan (Diamond Princess)","706","6","10","2020-03-03 03:00:00"
"Jiangsu","Mainland China","631","0","601","2020-03-07 01:00:00"
"Chongqing","Mainland China","576","6","520","2020-03-07 01:00:00"
"Sichuan","Mainland China","539","3","448","2020-03-07 01:00:00"
"Spain","Spain","516","10","30","2020-03-08 02:00:00"
"Heilongjiang","Mainland China","481","13","402","2020-03-07 01:00:00"
"Japan","Japan","461","6","76","2020-03-07 18:30:00"
"USA","USA","431","19","8","2020-03-08 02:30:00"
"Beijing","Mainland China","428","8","308","2020-03-08 02:00:00"
"Shanghai","Mainland China","342","3","306","2020-03-07 01:00:00"
"Hebei","Mainland China","318","6","305","2020-03-07 01:00:00"
"Fujian","Mainland China","296","1","284","2020-03-07 01:00:00"
"Switzerland","Switzerland","268","1","3","2020-03-07 18:30:00"
"Guangxi","Mainland China","252","2","219","2020-03-07 01:00:00"
"Shaanxi","Mainland China","245","1","226","2020-03-07 01:00:00"
"United Kingdom","United Kingdom","209","2","8","2020-03-07 20:00:00"
"Netherlands","Netherlands","188","1","1","2020-03-07 18:30:00"
"Yunnan","Mainland China","174","2","170","2020-03-07 01:00:00"
"Belgium","Belgium","169","0","1","2020-03-07 18:30:00"
"Hainan","Mainland China","168","6","158","2020-03-07 01:00:00"
"Sweden","Sweden","161","0","0","2020-03-07 18:30:00"
"Norway","Norway","156","0","0","2020-03-07 20:00:00"
"Guizhou","Mainland China","146","2","115","2020-03-07 01:00:00"
"Singapore","Singapore","138","0","82","2020-03-07 18:30:00"
"Tianjin","Mainland China","136","3","128","2020-03-07 01:00:00"
"Shanxi","Mainland China","133","0","126","2020-03-07 01:00:00"
"Liaoning","Mainland China","125","1","106","2020-03-07 01:00:00"
"Gansu","Mainland China","120","2","87","2020-03-08 02:00:00"
"Hong Kong","Hong Kong","109","2","55","2020-03-08 02:00:00"
"Washington","USA","108","16","1","2020-03-07 03:00:00 * CTY: Snohomish 27; King 71; Grant 1; Five Florida residents; Jefferson 1; Pierce 1; Clark 1; Kittitas 1"
"Jilin","Mainland China","93","1","90","2020-03-07 01:00:00"
"Malaysia","Malaysia","93","0","23","2020-03-07 18:30:00"
